epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.1715,0.57397,0.85044,1,0.31551,0.000542744,0.000542744,0.000542744
2,35.7264,0.34849,0.82405,1,0.27401,0.00107666,0.00107666,0.00107666
3,51.0408,0.32556,0.82405,1,0.34285,0.00158858,0.00158858,0.00158858
4,66.1465,0.3588,0.79179,1,0.40849,0.00156798,0.00156798,0.00156798
5,81.617,0.35191,0.81232,1,0.39325,0.00153497,0.00153497,0.00153497
6,97.5008,0.33926,0.80645,1,0.36523,0.00150197,0.00150197,0.00150197
7,113.684,0.3152,0.80645,1,0.32353,0.00146896,0.00146896,0.00146896
8,128.447,0.32493,0.81232,1,0.35966,0.00143595,0.00143595,0.00143595
9,143.776,0.30681,0.82405,1,0.41156,0.00140295,0.00140295,0.00140295
10,159.214,0.27438,0.81232,1,0.25067,0.00136994,0.00136994,0.00136994
11,174.179,0.24826,0.84457,1,0.29236,0.00133693,0.00133693,0.00133693
12,191.163,0.24757,0.81818,1,0.27693,0.00130393,0.00130393,0.00130393
13,206.839,0.24959,0.80352,1,0.28872,0.00127092,0.00127092,0.00127092
14,221.947,0.25329,0.80645,1,0.29738,0.00123791,0.00123791,0.00123791
15,237.427,0.26182,0.80059,1,0.37339,0.00120491,0.00120491,0.00120491
16,253.359,0.25636,0.79472,1,0.33734,0.0011719,0.0011719,0.0011719
17,269.228,0.25894,0.78299,1,0.34965,0.00113889,0.00113889,0.00113889
18,284.94,0.23237,0.79179,1,0.34312,0.00110589,0.00110589,0.00110589
19,299.879,0.23643,0.80645,1,0.38306,0.00107288,0.00107288,0.00107288
20,315.08,0.21537,0.78299,1,0.33962,0.00103987,0.00103987,0.00103987
21,331.409,0.21186,0.79179,1,0.39583,0.00100687,0.00100687,0.00100687
22,346.189,0.23444,0.77126,1,0.37492,0.000973861,0.000973861,0.000973861
23,361.647,0.21606,0.77713,1,0.35535,0.000940855,0.000940855,0.000940855
24,376.503,0.2267,0.78886,1,0.32515,0.000907848,0.000907848,0.000907848
25,391.119,0.2091,0.78886,1,0.34172,0.000874842,0.000874842,0.000874842
26,405.878,0.21324,0.78006,1,0.36816,0.000841835,0.000841835,0.000841835
27,422.215,0.22198,0.78299,1,0.37362,0.000808828,0.000808828,0.000808828
28,437.108,0.20619,0.80352,1,0.28016,0.000775822,0.000775822,0.000775822
29,451.402,0.19513,0.80059,1,0.31958,0.000742815,0.000742815,0.000742815
30,466.323,0.19192,0.77713,1,0.39738,0.000709809,0.000709809,0.000709809
31,481.325,0.1864,0.78006,1,0.39577,0.000676802,0.000676802,0.000676802
32,497.439,0.19855,0.78299,1,0.36267,0.000643795,0.000643795,0.000643795
33,513.153,0.20133,0.78006,1,0.39813,0.000610789,0.000610789,0.000610789
34,528.637,0.18485,0.77126,1,0.37128,0.000577782,0.000577782,0.000577782
35,543.542,0.17827,0.77419,1,0.43754,0.000544776,0.000544776,0.000544776
36,558.551,0.17675,0.77419,1,0.42464,0.000511769,0.000511769,0.000511769
37,573.99,0.18316,0.76833,1,0.48478,0.000478762,0.000478762,0.000478762
38,589.605,0.19075,0.77419,1,0.42436,0.000445756,0.000445756,0.000445756
39,604.838,0.17224,0.76833,1,0.40326,0.000412749,0.000412749,0.000412749
40,619.404,0.18052,0.76246,1,0.47127,0.000379743,0.000379743,0.000379743
41,636.174,0.17992,0.77126,1,0.45292,0.000346736,0.000346736,0.000346736
42,651.701,0.16627,0.75953,1,0.60653,0.000313729,0.000313729,0.000313729
43,667.695,0.16774,0.7654,1,0.49455,0.000280723,0.000280723,0.000280723
44,682.901,0.16851,0.76833,1,0.52144,0.000247716,0.000247716,0.000247716
45,697.976,0.16958,0.75953,1,0.56075,0.00021471,0.00021471,0.00021471
46,713.669,0.1676,0.75953,1,0.47807,0.000181703,0.000181703,0.000181703
47,729.975,0.17869,0.76833,1,0.56156,0.000148696,0.000148696,0.000148696
48,745.672,0.16996,0.76246,1,0.5026,0.00011569,0.00011569,0.00011569
49,761.044,0.15818,0.76833,1,0.51717,8.26832e-05,8.26832e-05,8.26832e-05
50,776.346,0.16819,0.76833,1,0.57996,4.96766e-05,4.96766e-05,4.96766e-05
